"PLANT_ID","LIB","ALIAS","VCF_NAME","ACC","NAT_PAPER_LIB","PLANTED_2018","COVERAGE_CATEGORY","COLLECTION_TYPE","COLLECTION_METHOD","TAXON","SOURCE_ID_1","SOURCE_ID_2","LIB_NOTES","COLL_DATE","LATITUDE","LONGITUDE","ELEVATION","NOTE_LATLONG","COUNTRY","STATE","COUNTY","LOCALITY","APPROX_COVERAGE","APPROX_BP_MAPPED","GOOD_PAIRED_READS","MINOR_LIB","MINOR_LIB_COV","MINOR_LIB_VCF_NAME","OLD_META_PLOIDY","PLD_SNP","NQUIRE_CDS_20","NQUIRE_FULL_20","NQUIRE_NSNPS_20","NQUIRE_PLOIDY","NQUIRE_CONFIDENCE","MINOR_LIB_NQUIRE_CDS_20","MNP_CDS_PLOIDY","MNP_GENIC_PLOIDY","OLD_TOT_PLOIDY","OLD_TOT_PLOIDY_CONFIDENCE","UNI_ACC","PPG_FILT_NOTE","PPG_NATIVE","PPG_CONTAMINANT"
"MX_100_299","IYYS",NA,"MX_100_299",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.82,32562630300,217084202,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_100_299",NA,NA,NA
"MX_10_316","IYYT",NA,"MX_10_316",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.69,26765790300,178438602,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_10_316",NA,NA,NA
"MX_120_283","IYYW",NA,"MX_120_283",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.68,32400864600,216005764,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_120_283",NA,NA,NA
"MX_129_294","IYYX",NA,"MX_129_294",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.17,25049871300,166999142,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_129_294",NA,NA,NA
"MX_150_292","IYYY",NA,"MX_150_292",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.72,20025004200,133500028,NA,NA,NA,"4X",NA,"4X","6X",NA,"4X",4,NA,NA,NA,NA,NA,"MX_150_292",NA,NA,NA
"MX_151_334","IYYZ",NA,"MX_151_334",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.34,27497757900,183318386,NA,NA,NA,"4X",NA,"4X","6X",NA,"4X",3,NA,NA,NA,NA,NA,"MX_151_334",NA,NA,NA
"MX_180_343","IYZC",NA,"MX_180_343",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.76,24583895100,163892634,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_180_343",NA,NA,NA
"MX_181_307","IYZD",NA,"MX_181_307",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.32,24087195300,160581302,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_181_307",NA,NA,NA
"MX_182_269","IYZE",NA,"MX_182_269",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.75,27960684900,186404566,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_182_269",NA,NA,NA
"MX_183_353","IYZF",NA,"MX_183_353",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.78,31382832900,209218886,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_183_353",NA,NA,NA
"MX_198_400","IYZI",NA,"MX_198_400",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.59,26648115900,177654106,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_198_400",NA,NA,NA
"MX_21_297","IYZL",NA,"MX_21_297",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.23,25119594600,167463964,NA,NA,NA,"4X",NA,"8X","8X",NA,"8X",1,NA,NA,NA,NA,NA,"MX_21_297",NA,NA,NA
"MX_222_264","IYZN",NA,"MX_222_264",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.79,39309123000,262060820,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_222_264",NA,NA,NA
"MX_244_311","IYZS",NA,"MX_244_311",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.84,33714157800,224761052,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_244_311",NA,NA,NA
"MX_253_296","IYZX",NA,"MX_253_296",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.68,27887379600,185915864,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_253_296",NA,NA,NA
"MX_279_267","IZAB",NA,"MX_279_267",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7,27904962000,186033080,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_279_267",NA,NA,NA
"MX_397_635","IZAG",NA,"MX_397_635",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.19,27334899000,182232660,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_397_635",NA,NA,NA
"MX_398_263","IZAH",NA,"MX_398_263",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.41,29834133000,198894220,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_398_263","Clusters within SHC/J251; is either Alamo or a sample switch, but that would be weird given the origin and timing of sequencing; I'm guessing is Alamo","F","F"
"MX_399_261","IZAI",NA,"MX_399_261",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.21,18312567900,122083786,NA,NA,NA,"4X",NA,"8X","8X",NA,"8X",2,NA,NA,NA,NA,NA,"MX_399_261","Weird clustering - with Arkansas and Mississippi samples; could be because of admixture, but certainly is suspicious","F","M"
"MX_39_277","IZAJ",NA,"MX_39_277",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.66,33508011600,223386744,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_39_277",NA,NA,NA
"MX_42_312","IZAK",NA,"MX_42_312",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.39,20774218800,138494792,NA,NA,NA,"4X",NA,"4X","6X",NA,"4X",4,NA,NA,NA,NA,NA,"MX_42_312",NA,NA,NA
"MX_468_258","IZAL",NA,"MX_468_258",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.24,25125949800,167506332,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_468_258",NA,NA,NA
"MX_469_257","IZAM",NA,"MX_469_257",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6,24409844100,162732294,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_469_257",NA,NA,NA
"MX_470_260","IZAN",NA,"MX_470_260",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.83,22402492500,149349950,NA,NA,NA,"4X",NA,"4X","6X",NA,"4X",4,NA,NA,NA,NA,NA,"MX_470_260",NA,NA,NA
"MX_495_259","IZAU",NA,"MX_495_259",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.58,31166565000,207777100,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_495_259",NA,NA,NA
"MX_69_274","IZBT",NA,"MX_69_274",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.99,29370146700,195800978,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_69_274",NA,NA,NA
"MX_9_324","IZBW",NA,"MX_9_324",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.94,31570918500,210472790,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_9_324",NA,NA,NA
"MX_PV84_R1","IZBX",NA,"MX_PV84_R1",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.82,20136231900,134241546,NA,NA,NA,"4X",NA,"4X","6X",NA,"4X",4,NA,NA,NA,NA,NA,"MX_PV84_R1",NA,NA,NA
"MX_PV86_R1","IZBY",NA,"MX_PV86_R1",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.07,22674966300,151166442,NA,NA,NA,"4X",NA,"4X","6X",NA,"4X",3,NA,NA,NA,NA,NA,"MX_PV86_R1",NA,NA,NA
"MX_PV87_R1","IZBZ",NA,"MX_PV87_R1",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.31,47800461000,318669740,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_PV87_R1",NA,NA,NA
"MX_PV88_R1","IZCA",NA,"MX_PV88_R1",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.05,29427246900,196181646,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_PV88_R1",NA,NA,NA
"MX_PV89_R1","IZCB",NA,"MX_PV89_R1",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.46,50237179800,334914532,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_PV89_R1",NA,NA,NA
"MX_PV90_R1","IZCC",NA,"MX_PV90_R1",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.65,25593263400,170621756,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_PV90_R1",NA,NA,NA
"MX_PV91_R1","IZCD",NA,"MX_PV91_R1",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.35,20738218500,138254790,NA,NA,NA,"4X",NA,"4X","6X",NA,"4X",4,NA,NA,NA,NA,NA,"MX_PV91_R1",NA,NA,NA
"MX_X_637","IZCF",NA,"MX_X_637",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.85,22431274500,149541830,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",2,NA,NA,NA,NA,NA,"MX_X_637",NA,NA,NA
"MX_X_640","IZCG",NA,"MX_X_640",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.34,28629551700,190863678,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_X_640",NA,NA,NA
"MX_X_642","IZCH",NA,"MX_X_642",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.63,24443534400,162956896,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_X_642",NA,NA,NA
"MX_X_644","IZCJ",NA,"MX_X_644",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7,33560544300,223736962,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_X_644",NA,NA,NA
"MX_X_649","IZCM",NA,"MX_X_649",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.68,30142717200,200951448,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_X_649",NA,NA,NA
"MX_X_651","IZCN",NA,"MX_X_651",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.83,22399512300,149330082,NA,NA,NA,"4X",NA,"4X","6X",NA,"4X",4,NA,NA,NA,NA,NA,"MX_X_651",NA,NA,NA
"MX_X_652","IZCP",NA,"MX_X_652",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.74,23433119700,156220798,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_X_652",NA,NA,NA
"MX_X_653","IZCQ",NA,"MX_X_653",NA,NA,NA,"mexican","Mexican Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.12,31776187800,211841252,NA,NA,NA,"4X",NA,"4X","4X",NA,"4X",1,NA,NA,NA,NA,NA,"MX_X_653",NA,NA,NA
"J002.A","JBDA","J002_A","J002_A","J002",NA,"Y","new_164g","Natural Collection","Dug up from established common garden at the Noble Foundataion in Ardmore, OK","Panicum virgatum","30_1","Citrus Co-FL","NA",NA,28.75,-82.53,16,NA,"USA","Florida","Citrus","Citrus County, FL",55.88,63137530800,420916872,NA,NA,NA,"8X",NA,"6X","6X",NA,"6X",1,NA,NA,NA,NA,NA,"CITRUS_CO_FL","Weird geography; there is no (native) MW samples in the area to provide the 64% MW ancestry","T","M"
"J004.A","JBDB","J004_A","J004_A","J004",NA,"Y","new_164g","Breeding Selection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","PI315724","BN-10860-61","Octoploid","1/1/56",38.736583,-98.22838,480,NA,"USA","Kansas","Ellsworth","Ellsworth",35.52,40131865200,267545768,"IIAP",11.43,"J004.A","8X","8X","8X","8X",NA,"8X",1,"8X","?X","?X","8X",2,"ELLSWORTH",NA,NA,NA
"J007.C","JBDC","J007_C","J007_C","J007",NA,"Y","new_164g","Breeding Selection","Dug up from established common garden at the Noble Foundataion in Ardmore, OK","Panicum virgatum","6_7","PI 337553","NA",NA,-31.247613,-61.487103,103,NA,"Argentina",NA,"Santa Fe","Rafaela Experiment Station, Unknown if Natural Collection. Collected by a collector, but was on Ag experiment land.",25.42,28716219600,191441464,NA,NA,NA,"8X",NA,"8X","8X",NA,"8X",1,NA,NA,NA,NA,NA,"ARGENTINA","Not native to Argentina; but I think this isn't technically a contaminant","F","F"
"J010.B","JBDD","J010_B","J010_B","J010",NA,"Y","new_164g","Breeding Selection","Dug up from established common garden at the Noble Foundataion in Ardmore, OK","Panicum virgatum","9_1","PI 414067","NA","11/26/76",35.841854,-78.616101,NA,"GPS estimated using passport data","USA","North Carolina","Wake","Soil Conservation Service",26.31,29723426400,198156176,NA,NA,NA,"8X",NA,"8X","8X",NA,"8X",1,NA,NA,NA,NA,NA,"PI_414067",NA,NA,NA
"J010.C","JBDE","J010_C","J010_C","J010",NA,"Y","new_164g","Breeding Selection","Dug up from established common garden at the Noble Foundataion in Ardmore, OK","Panicum virgatum","9_9","PI 414067","NA","11/26/76",35.841854,-78.616101,NA,"GPS estimated using passport data","USA","North Carolina","Wake","Soil Conservation Service",33.03,37320211500,248801410,NA,NA,NA,"8X",NA,"8X","8X",NA,"8X",1,NA,NA,NA,NA,NA,"PI_414067",NA,NA,NA
"J012.A","JBDF","J012_A","J012_A","J012",NA,"Y","new_164g","Breeding Selection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","PI414069","BN-309-69","NA","11/26/76",42.1497,-74.9384,736,"Approx @ State Center","USA","New York",NA,"Soil Conservation Service",24.58,27768251400,185121676,NA,NA,NA,"8X",NA,"8X","8X",NA,"8X",1,NA,NA,NA,NA,NA,"PI_414069","Is breeding material from NY, but seems like it might have Blackwell ancestry","F","M"
"J014.C","JBDG","J014_C","J014_C","J014",NA,"Y","new_164g","Cultivar","Dug up from established common garden at the Noble Foundataion in Ardmore, OK","Panicum virgatum","12_15","PI 421138","NA","11/30/77",35.350336,-79.436616,120,NA,"USA","North Carolina","Moore","Carthage",34.67,39175565400,261170436,NA,NA,NA,"8X",NA,"8X","8X",NA,"8X",1,NA,NA,NA,NA,NA,"CARTHAGE",NA,NA,NA
"J015.C","JBDH","J015_C","J015_C","J015",NA,"Y","new_164g","Cultivar","Dug up from established common garden at the Noble Foundataion in Ardmore, OK","Panicum virgatum","13_16","PI 421520","NA",NA,36.823448,-97.179026,315,"GPS estimated using passport data","USA","Oklahoma","Kay","Kay County, OK",25.2,28473748200,189824988,NA,NA,NA,"8X",NA,"8X","8X",NA,"8X",1,NA,NA,NA,NA,NA,"PI_421520",NA,NA,NA
"J025.A","JBDI","J025_A","J025_A","J025",NA,"Y","new_164g","Cultivar","Grown from GRIN Seed Packet In Austin","Panicum virgatum","PI469228","Cave-in-Rock","NA","1/1/58",37.469217,-88.165308,114,NA,"USA","Illinois","Hardin","Cave-in-Rock, Illinois",30.31,34247475600,228316504,NA,NA,NA,"8X",NA,"8X","8X",NA,"8X",1,NA,NA,NA,NA,NA,"CAVE_IN_ROCK",NA,NA,NA
"J032.C","JBDJ","J032_C","J032_C","J032",NA,"Y","new_164g","Natural Collection","Dug up from established common garden at the Noble Foundataion in Ardmore, OK","Panicum virgatum","27_5","PI 476296","NA","1/1/83",38.78,-104.71,1839,"generic Colorado Springs coordinates","USA","Colorado",NA,"Colorado Springs, Colorado",22.95,25927077000,172847180,NA,NA,NA,"8X",NA,"8X","8X",NA,"8X",1,NA,NA,NA,NA,NA,"PI_476296","Weird geographic cluster, all other samples are from Arkansas, probably a transplant","F","M"
"J033.A","JBDK","J033_A","J033_A","J033",NA,"Y","new_164g","Cultivar","Grown from GRIN Seed Packet In Austin","Panicum virgatum","PI476297","Caddo","NA","8/1/61",36.115609,-97.058372,NA,"GPS estimated using passport data","USA","Oklahoma","Payne","Received through National Plant Materials Center, SCS, Beltsville, MD SCS T-number ",35.01,39558438000,263722920,NA,NA,NA,"8X",NA,"8X","8X",NA,"8X",1,NA,NA,NA,NA,NA,"PI_476297",NA,NA,NA
"J038.A","JBDL","J038_A","J038_A","J038",NA,"Y","new_164g","Cultivar","Grown from GRIN Seed Packet In Austin","Panicum virgatum","PI549094","TRAILBLAZER","NA","8/1/84",41.180367,-96.455918,NA,"Developed by NEB","USA","Nebraska","Saunders","TrailBlazer",28.01,31652693700,211017958,NA,NA,NA,"8X",NA,"8X","8X",NA,"8X",1,NA,NA,NA,NA,NA,"TRAILBLAZER",NA,NA,NA
